Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,10,0,10,0,-50,0,0,1000,-30,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,-100,0,-1000,0,0,0,0,0,35,50,0,1,1.26
12,0,0,0,0,35,0,-100,0,0,0,0,100,0,0,0,0,0,-1000,0,10,0,0,0,0,0,0,-10,0,-50,0,30,0,0,0,0,0,0,0,50,0,0,-10,-30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,-35,1000,1,12.4
13,35,0,0,0,0,0,0,-100,0,0,0,-1000,0,10,0,0,0,0,0,0,0,0,0,100,-10,1000,0,0,0,0,0,0,0,0,50,10,-10,0,0,0,30,-50,0,-30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5.26
14,0,0,0,0,1000,0,0,0,0,0,0,-1000,0,0,35,0,0,0,0,0,0,0,100,-30,0,0,-10,0,50,0,0,0,-100,10,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,10,-50,0,-35,0,0,30,0,0,0,0,0,0,0,0,1,3.37
15,0,0,-1000,0,-100,0,0,0,0,0,0,0,0,10,1000,0,-30,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,10,0,-35,35,0,0,0,0,0,0,0,100,-10,0,0,0,0,0,0,0,0,0,30,0,-17.15
16,0,-1000,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,1000,0,30,0,0,0,0,0,-10,0,10,10,0,-10,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,-35,0,0,-100,0,100,0,0,0,0,0,0,0,0,78
17,0,0,-30,0,0,0,0,0,10,50,0,0,0,0,0,0,-35,0,0,0,0,-100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,-10,0,0,30,0,1000,0,0,0,0,0,0,-10,0,0,0,-50,-1000,0,0,35,0,0,1,13.94
18,-35,-30,0,0,0,0,0,0,-1000,0,-10,0,50,0,0,0,0,0,0,0,100,0,0,35,0,0,0,0,0,0,-100,0,10,0,10,0,0,0,-10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,-50,0,1,0
19,0,0,0,0,0,0,0,0,10,0,-50,0,0,10,0,0,-35,0,0,0,-10,0,0,50,100,0,0,0,0,0,0,0,0,-100,35,0,0,30,0,1000,0,-1000,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-30,0,0,0.87
20,0,0,0,0,0,-100,0,0,0,0,0,0,10,1000,-30,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,-35,50,0,0,0,0,0,0,0,10,0,0,30,0,0,-10,0,0,0,0,0,0,-10,-50,0,0,0,100,35,0,0,0,0,1,72.81
21,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,35,0,0,-10,0,50,-35,0,0,100,0,1000,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,10,0,-100,-50,0,0,0,0,0,0,0,0,0,-4.08
22,0,0,0,0,0,0,0,0,-10,0,10,0,0,10,0,100,0,0,0,0,0,0,10,-35,0,0,0,-10,0,0,0,1000,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,-100,-30,0,0,0,0,0,0,30,0,-50,35,0,0,0,0,0,-25.69
23,0,0,0,0,-1000,0,0,0,10,0,0,0,0,0,0,0,35,0,50,-10,0,10,0,0,0,10,0,0,0,0,0,0,1000,30,0,0,0,-100,100,0,-10,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,-24.46
24,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,50,-1000,0,10,0,30,0,0,0,0,10,100,0,0,-30,1000,0,0,0,-35,0,-10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,-50,0,0,0,61.11
25,0,0,0,0,0,50,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,-50,0,10,0,0,0,0,0,0,-10,0,-35,-10,0,0,-100,30,0,0,35,0,0,0,0,0,1000,0,-30,0,0,0,0,0,0,1,19.89
26,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-10,-50,0,-30,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,100,0,0,0,0,1000,0,10,0,0,0,0,-1000,35,0,-35,0,1,76.05
27,0,0,0,0,0,100,1000,0,0,30,0,10,0,0,0,0,0,0,-10,0,0,0,0,0,0,-100,35,0,0,0,-30,0,0,0,0,0,0,0,-1000,0,0,10,-10,50,0,0,0,0,0,0,0,0,-35,0,0,10,0,0,0,0,0,0,0,0,0,-7.27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,0,10,0,30,0,-10,100,0,0,0,0,-1000,0,0,0,0,0,-100,1000,0,0,0,0,10,0,0,0,0,-30,-10,-35,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,1,19.44
29,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,-10,-30,10,10,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,-1000,0,0,0,0,0,0,0,-10,0,30,10,-100,0,0,100,0,0,0,0,0,0,0,0,35,0,1,-7.55
30,30,-100,0,-35,0,0,0,0,0,0,10,0,-10,0,0,0,0,0,0,10,1000,0,0,0,0,-1000,0,0,0,0,10,0,0,-10,0,0,0,100,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,50,0,13.28
31,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,30,0,-1000,100,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-50,0,-10,0,0,-100,0,0,0,0,0,50,0,10,0,10,0,10,0,0,0,35,0,0,0,0,0,0,0,0.94
32,0,0,0,0,0,0,0,-100,0,0,0,0,10,0,-50,0,0,0,0,50,0,-10,0,10,0,0,0,0,10,30,0,0,35,0,0,1000,100,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,-10,0,0,0,0,0,-30,0,0,0,0,0,0,-11.52
33,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,10,0,-10,0,0,-100,0,0,0,0,0,-1000,10,10,0,0,-50,0,0,-10,0,0,1000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,35,-35,0,0,0,78.05
34,0,0,0,0,0,0,0,0,0,0,0,-35,1000,0,0,0,0,10,0,-50,0,35,30,0,-10,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-30,50,0,0,0,0,0,0,0,-10,-100,0,0,100,0,0,0,0,0,0,0,1,2.64
35,0,50,-35,1000,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,10,0,-10,0,0,-30,0,0,0,-1000,0,0,0,0,0,0,0,0,0,30,0,0,0,10,10,-10,0,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,-10.8
36,0,0,0,0,1000,0,0,0,0,-100,0,-10,0,0,0,0,0,30,50,0,0,100,0,10,0,0,0,0,0,0,0,-10,0,0,-1000,0,10,0,0,0,0,0,0,0,0,0,0,-35,0,-30,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.28
37,-1000,0,0,0,0,35,0,0,0,0,0,0,-100,0,0,-10,0,0,0,0,10,-35,100,-50,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,30,0,0,0,0,-30,0,0,1000,0,0,0,0,1,7.43
38,0,0,0,0,0,0,0,0,0,0,0,30,0,10,-100,0,0,100,1000,0,0,0,0,0,10,50,0,0,0,0,0,-10,0,-50,-30,0,-10,0,0,0,35,0,0,0,0,-1000,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,1,21.49
39,0,0,0,0,0,0,0,0,10,-100,0,0,0,0,0,0,0,0,50,0,0,0,0,-10,0,100,0,-10,0,0,0,-50,0,0,10,1000,0,0,0,0,0,0,0,0,-30,0,0,-1000,0,0,0,10,0,0,0,35,0,0,0,0,0,0,-35,0,1,18.75
40,0,0,0,-30,0,0,0,-50,0,0,0,0,0,35,0,0,0,0,-10,0,1000,0,0,0,-10,10,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,50,0,100,0,10,-1000,0,0,-100,0,0,0,0,0,0,0,0,30,0,0,0,0,1,-6.87
41,50,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,10,0,0,1000,0,0,0,35,10,0,0,0,0,0,30,0,0,-35,0,0,0,0,0,-100,0,0,-10,0,0,-50,0,0,10,0,0,0,-1000,0,0,0,0,0,0,0,0,0,100,1,-18.56
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-50,0,0,10,-10,0,0,0,0,-30,0,30,-35,50,0,0,100,0,10,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1000,0,0,35,0,-10.27
43,0,0,0,0,0,0,0,-35,0,0,-50,0,0,100,0,1000,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,-1000,10,0,0,-10,-10,0,0,0,0,10,0,50,10,-30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99
44,0,30,0,0,0,0,0,0,0,10,0,0,0,0,0,50,0,-35,0,0,0,10,35,0,-10,0,0,0,0,0,-50,0,0,0,0,0,0,10,-100,0,0,0,0,0,0,0,0,-1000,1000,0,0,0,0,0,0,0,0,100,0,0,-30,0,0,0,0,-16.42
45,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,-30,0,0,0,10,-10,10,0,0,0,-35,0,0,-10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,30,0,-100,0,0,-50,-1000,35,50,0,0,0,0,0,0,0,0,0,0,0,-22.09
46,0,0,0,0,0,0,0,0,0,-100,0,0,0,-30,0,0,0,30,0,0,50,0,-10,0,0,-1000,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1000,0,0,-35,0,10,0,0,0,100,0,0,-50,0,0,35,0,0,0,0,0,-11.7
47,-100,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-10,0,0,0,0,-1000,0,35,0,10,0,0,-50,0,-30,10,0,0,0,-10,0,0,0,0,0,10,0,1000,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,-6.17
48,0,0,0,0,50,1000,0,0,0,0,0,10,0,0,0,35,0,0,0,0,-10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-10,-30,0,-100,0,0,-35,0,-50,0,10.16
49,0,0,-1000,0,0,0,0,0,30,0,10,0,35,-10,0,0,-35,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,100,1000,-30,0,0,0,50,0,0,0,-50,0,0,0,10,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,-19.64
50,0,0,0,0,0,0,0,0,0,35,1000,0,100,0,0,0,0,-10,10,0,0,0,-35,0,0,10,0,0,0,0,0,0,0,0,0,-1000,0,-30,-10,-50,0,0,0,0,0,30,10,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38
51,0,0,0,0,0,0,0,0,10,35,100,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,-35,0,-10,0,-10,0,0,0,-1000,50,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,0,10,0,0,-30,0,0,0,0,0,0,-100,0,-69.71
52,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,-100,-35,0,0,0,-30,1000,0,0,0,0,-1000,0,-10,0,0,0,0,0,0,35,0,10,0,-10,0,0,10,0,30,-50,0,0,0,0,0,0,0,0,0,0,100,0,0,1,-3.66
53,0,-1000,0,0,0,0,1000,0,0,10,0,0,-10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,-100,35,0,0,0,0,0,-50,0,0,10,10,0,0,-30,0,0,0,0,0,0,50,0,0,0,0,0,-10,0,0,0,0,0,0,100,0,0,0,-12.09
54,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,35,0,0,10,10,0,0,-10,0,0,-10,0,-100,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,-1000,10,1000,-30,0,0,0,0,0,0,0,0,0,0,0,0,-17.21
55,0,0,0,0,0,0,0,0,0,-100,-1000,0,0,0,0,0,0,0,0,50,0,10,0,100,-10,0,0,0,0,1000,0,30,0,0,0,0,-10,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,10,0,-35,0,0,0,-30,0,0,0,0,0,0,-13.77
56,0,1000,0,0,0,0,-30,0,10,0,0,0,-10,0,0,0,10,0,0,0,0,0,0,0,0,100,0,35,0,0,0,0,0,0,0,0,0,-35,0,0,0,-100,-1000,0,0,0,10,0,0,0,-10,30,0,0,0,0,0,0,0,0,50,0,0,0,1,-7.78
57,0,100,0,1000,0,35,0,0,0,30,50,-10,-10,10,0,0,10,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-1000,-30,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.54
58,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,-1000,0,0,0,0,-10,10,0,0,30,0,0,0,-10,-100,0,0,10,0,0,0,0,0,0,0,0,0,35,0,1000,0,0,0,100,0,0,-50,0,0,0,0,0,0,0,0,0,0,-35,0,1,19.68
59,0,0,0,0,0,0,0,0,0,0,0,-10,-35,0,0,0,0,0,-1000,0,0,0,0,1000,0,-100,0,35,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,-10,0,10,0,0,0,0,0,10,0,0,0,-50,0,30,0,-30,0,0,0,0,0
60,0,0,0,0,0,30,0,0,0,0,0,10,0,0,-10,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-1000,0,1000,0,0,0,0,0,0,0,-100,0,-30,0,-50,0,0,0,10,0,-35,0,-10,0,0,0,0,100,0,0,0,0,0,0,1,-11.15
61,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,-10,50,0,0,0,0,0,0,0,0,0,35,-100,0,-10,0,0,0,0,0,0,30,0,0,0,0,0,100,0,0,-50,0,0,0,0,10,1000,0,0,10,0,10,0,-30,0,0,0,0,0,0,1,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-50,0,1000,0,0,0,0,0,0,10,0,0,0,-1000,0,0,-100,50,0,100,0,-30,10,-10,0,0,0,-35,0,0,35,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0
63,0,0,-1000,0,0,0,0,0,1000,0,100,0,-10,0,35,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,10,0,0,-50,0,0,0,0,-100,0,10,0,-35,10,0,0,0,0,0,50,0,0,0,30,0,0,0,0,0,3.33
64,0,0,0,0,1000,-35,0,0,100,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,30,-50,10,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,10,10,0,0,-100,-1000,0,0,0,0,0,0,0,0,35,0,12.36
65,0,0,-100,0,50,0,100,0,0,-30,0,0,0,0,1000,0,0,10,-35,0,10,0,0,35,-10,0,0,0,0,0,0,-50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
66,0,0,0,0,0,0,0,1000,0,0,50,0,0,10,0,0,0,-10,0,0,0,0,0,0,10,0,0,0,0,-10,0,0,0,0,35,-50,0,0,0,0,0,0,0,0,10,0,0,-30,0,0,0,-100,30,0,-1000,0,0,0,0,-35,0,0,0,0,0,26.78
67,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,-10,35,0,-1000,50,0,0,-100,0,0,10,0,-30,0,-35,-10,10,0,0,0,0,0,0,0,10,0,0,0,1000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.2
68,0,0,0,0,1000,0,0,0,0,10,-30,-1000,-35,0,0,0,0,0,0,0,0,0,0,-10,0,50,0,0,0,-10,0,-50,0,0,0,-100,0,30,0,100,0,0,0,0,0,0,35,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,-15.55
69,0,0,0,0,0,0,0,0,-1000,0,0,0,0,-100,0,0,0,-30,0,0,0,0,0,0,10,0,0,0,50,0,0,0,0,0,-10,0,0,10,-10,0,30,0,0,0,0,0,-35,0,0,0,0,0,0,10,0,100,0,0,0,0,1000,0,0,-50,1,9.49
70,0,0,0,0,35,0,0,0,0,10,0,0,0,10,1000,0,0,0,0,-30,30,0,0,100,0,0,50,10,0,0,0,0,0,0,0,0,-50,0,-1000,0,0,0,0,0,0,0,0,-35,0,0,0,0,-10,0,0,-100,0,0,0,0,0,0,0,0,0,-0.46
71,0,0,0,0,100,0,0,0,0,0,0,-35,-100,0,0,-50,0,0,0,0,0,0,0,-10,0,10,0,0,0,0,10,0,0,0,0,0,0,0,-10,0,0,-1000,0,0,0,50,0,0,0,0,0,1000,0,35,-30,0,0,0,0,0,0,0,30,0,0,7.82
72,-100,0,0,-30,0,0,1000,0,0,0,0,0,10,0,0,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-35,0,0,0,0,35,-50,0,-1000,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,15.98
73,0,0,50,0,-1000,0,0,1000,0,-35,0,-100,0,0,0,0,0,0,0,10,0,-50,0,0,0,0,0,0,0,10,-10,0,0,0,0,0,35,0,0,0,0,0,0,0,-10,10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-30,0,-10.06
74,-1000,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1000,0,0,-50,0,0,0,0,0,0,0,10,0,0,-10,0,0,0,100,35,0,-30,0,0,-10,10,0,0,0,0,30,-100,0,0,0,0,1,-27.65
75,0,0,0,0,0,0,30,0,0,0,10,0,0,-100,0,0,1000,0,0,0,0,0,0,0,-35,-10,0,0,0,0,0,0,0,0,0,0,10,0,0,100,0,0,0,0,10,0,0,0,-1000,-50,0,0,0,-10,0,0,0,35,0,0,0,0,50,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,10,0,0,-100,0,-30,0,0,0,0,10,0,0,0,0,0,0,0,-1000,0,0,0,0,35,10,0,-50,-35,0,-10,0,0,0,0,0,0,0,0,0,0,50,1000,1,20.14
77,0,0,1000,35,0,0,0,0,-35,0,0,0,50,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,-30,0,0,0,0,0,10,0,0,-10,-50,0,0,0,0,0,0,-10,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,-1000,0,3.07
78,0,30,0,0,0,0,0,-100,0,0,-10,-30,0,0,0,0,0,0,0,50,0,0,10,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,-35,-10,0,1000,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-1000,0,0,-50,0,0,1,-10.95
79,-35,0,0,0,-100,0,0,0,0,0,0,-30,0,0,0,0,-50,0,50,30,0,0,0,0,100,0,10,0,0,0,0,-10,0,0,-1000,0,0,0,0,0,1000,0,0,0,-10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,35,0,0,0,-19.71
80,0,0,100,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,10,0,0,0,0,10,0,0,-50,-10,10,0,0,0,0,30,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,50,0,-10,35,0,0,-100,0,0,0,0,0,0,80.42
81,0,0,35,30,0,0,0,1000,10,100,0,10,0,0,10,0,0,0,-35,0,0,0,0,0,50,0,0,0,0,0,-30,0,0,0,0,0,-100,0,0,0,0,0,-1000,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,1,92.92
82,0,0,0,1000,0,0,0,0,100,35,0,10,50,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,-10,0,0,-10,0,-30,-35,0,-1000,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,15.07
83,0,0,0,0,-35,0,0,0,-30,30,1000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,50,0,-10,-10,0,10,0,10,0,0,0,0,0,-100,0,0,0,-1000,0,0,0,0,0,0,-50,0,0,0,31.88
84,0,0,1000,0,0,0,0,0,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,100,0,0,-50,0,0,-10,0,0,0,-35,0,0,0,0,0,0,10,0,-100,10,0,30,50,0,0,0,0,0,-1000,0,0,0,0,13.92
85,0,0,0,0,0,0,0,0,0,0,0,100,1000,0,50,0,0,0,0,0,0,-30,0,0,0,0,0,0,10,0,-35,0,0,0,10,-10,0,0,0,0,0,0,0,0,-50,10,0,0,30,0,0,0,0,-10,0,0,0,0,0,0,35,0,-1000,0,0,8.41
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-100,0,100,1000,50,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-30,0,0,-35,0,10,0,0,0,0,0,10,0,0,10,-50,0,35,-1000,0,0,0,0,0,0,0,0,0,1,16.12
87,50,0,0,-35,0,0,0,0,0,-50,0,0,10,0,0,0,-10,0,0,0,-1000,0,0,0,0,0,-10,0,100,0,10,30,0,0,35,-100,0,0,0,0,0,-30,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.42
88,0,0,0,1000,0,0,0,0,50,0,0,0,-35,0,0,-100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-1000,0,0,0,0,0,0,-10,0,-50,10,-30,0,0,35,0,0,0,10,0,0,0,0,0,0,30,0,1,1.32
89,0,0,0,0,0,0,35,50,0,0,0,0,-1000,0,0,0,0,-10,-100,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,10,-30,0,0,0,0,1000,0,100,0,0,30,10,0,0,10,0,0,0,0,0,0,0,0,0,-8.38
90,0,0,0,50,0,0,0,0,0,0,0,-35,0,100,35,0,-10,0,-1000,0,0,0,1000,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-50,30,0,0,0,10,0,0,-10,0,0,-100,0,0,0,0,0,0,0,0,-2.22
91,0,0,35,0,0,0,0,0,0,0,0,0,0,-35,-30,0,10,10,0,0,100,0,0,0,0,-10,0,0,0,0,1000,0,0,0,-50,-1000,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,-10,-100,0,0,0,0,0,0,0,0,-10.83
92,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,-35,0,0,0,-30,0,0,-10,0,0,0,0,0,1000,0,0,0,0,0,-100,30,0,0,0,0,50,0,0,0,-10,0,-1000,35,10,-50,0,0,0,0,0,0,0,0,100,0,0,0,0,31.82
93,-1000,0,0,0,0,30,1000,0,0,0,0,0,0,-30,10,0,0,0,-100,0,0,0,0,-10,0,0,0,0,0,50,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,10,-50,0,0,-10,0,0,0,0,0,0,100,35,0,0,0,0,0,0,0,0,4.03
94,0,0,-100,0,-50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,-10,0,0,-30,0,0,0,0,10,0,0,0,0,-10,0,0,100,0,10,0,0,0,0,0,-1000,0,0,0,0,0,0,0,10,0,0,35,0,30,0,1000,0,0,0,14.08
